1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,11,7,11,2,5,2,1,110,31,31
1,1,3,1,31,12,31,4,1,2,1,310,31,32
2,1,3,1,41,7,11,2.5,1,1,1,240,31,90
1,1,3,1,36,12,11,2.5,5,1,1,150,31,39
1,1,3,1,45,31,31,4,1,2,1,100,35,39
2,1,3,1,42,7,11,2.5,5,1,1,110,31,31
2,1,1,2,37,13,11,3,1,2,1,10,31,23
2,1,1,1,32,4,11,2.5,1,1,1,110,31,31
1,1,1,1,43,6,11,2.5,1,1,1,110,31,31
1,1,3,1,31,7,31,4,1,2,1,160,31,31
2,1,1,2,37,36,1,3,1,2,1,10,37,21
1,1,3,1,61,5,31,4,1,2,1,110,11,31
2,3,1,1,45,24,11,2.5,1,1,1,10,31,39
1,1,3,1,44,6,31,4,1,2,1,100,31,39
1,1,3,1,62,6,31,4,1,2,1,100,11,39
1,1,1,1,32,10,1,3,1,2,1,100,31,39
1,1,3,1,37,12,31,4,1,2,1,310,31,32
1,1,3,1,36,31,31,4,1,2,1,100,35,39
1,1,3,1,43,14,31,4,1,2,1,160,31,31
2,1,2,1,31,10,11,2.5,1,1,1,330,31,32
1,1,13,2,44,7,11,2.5,5,1,1,330,31,32
2,1,2,1,34,15,11,2.5,1,1,1,10,31,90
2,1,1,1,32,19,11,2.5,1,1,1,150,31,39
2,1,3,1,14,6,11,2.5,1,1,1,10,14,20
1,1,1,1,41,6,11,2.5,1,1,1,110,31,31
1,1,3,1,31,20,11,2.5,1,1,1,310,31,32
1,1,3,1,37,4,11,2.5,1,1,1,110,31,31
1,1,3,1,43,4,31,5,1,2,1,170,44,39
1,1,1,1,42,20,11,2.5,5,1,1,300,50,32
1,1,13,1,12,7,11,2,5,2,1,100,31,39
1,1,3,1,21,18,11,2.5,1,1,1,310,11,39
1,1,1,1,31,20,11,2.5,1,1,1,200,31,32
1,1,1,1,21,9,11,2.5,1,1,1,100,31,39
1,1,1,1,23,22,1,3,1,2,1,300,31,32
2,1,1,1,13,5,11,2.5,1,1,1,160,31,39
2,1,3,1,14,13,11,7,1,2,1,10,31,23
1,1,1,1,61,9,11,2.5,1,1,1,300,31,32
1,1,3,1,31,12,31,4,1,2,1,110,31,31
1,1,1,2,34,14,1,4.5,1,1,1,100,31,39
2,1,3,1,31,4,11,2.5,1,1,1,110,31,31
2,1,2,1,32,10,11,2.5,1,1,1,10,31,20
2,1,1,1,21,10,11,2.5,1,1,1,100,21,39
2,1,3,1,44,6,31,4,1,2,1,150,44,39
2,1,1,1,62,13,11,3,1,2,1,100,33,39
2,1,3,1,37,18,11,2.5,1,1,1,10,31,22
1,1,3,1,43,6,1,3,1,1,1,110,31,31
2,1,3,1,37,5,11,2.5,1,1,1,100,31,31
1,1,1,1,31,7,11,2.5,1,1,1,100,31,31
1,1,2,2,31,6,11,2.5,1,1,1,110,31,31
